id,ggxfGroupName,ggxfGridName,parentId,gridPriority,iCodeCount,jNodeCount,depth,extent_wkt,displacementEast-min,displacementEast-max,displacementNorth-min,displacementNorth-max,displacementUp-min,displacementUp-max
0:0,nz_linz_nzgd2000-ndm-grid02,ndm_grid_nuvel1a_eez,,,73,67,1,"POLYGON((158.0 -58.0,158.0 -25.0,194.0 -25.0,194.0 -58.0, 158.0 -58.0))",-0.0595,0.0230,0.0261,0.0513,,
0:0:0,nz_linz_nzgd2000-ndm-grid02,ndm_grid_igns2011_nz,0:0,,141,151,2,"POLYGON((165.5 -48.0,165.5 -33.0,179.5 -33.0,179.5 -48.0, 165.5 -48.0))",-0.0453,0.0126,0.0108,0.0461,,
1:0,nz_linz_nzgd2000-si20030821-grid01,patch_si_20030821_grid_si_l1,,,44,34,1,"POLYGON((165.85 -47.625,165.85 -43.5,172.29999999999998 -43.5,172.29999999999998 -47.625, 165.85 -47.625))",-0.2539,0.0684,-0.1545,0.2089,-0.1093,0.7130
1:0:0,nz_linz_nzgd2000-si20030821-grid01,patch_si_20030821_grid_si_l2,1:0,,47,45,2,"POLYGON((166.225 -45.875,166.225 -44.5,167.95 -44.5,167.95 -45.875, 166.225 -45.875))",-0.2674,0.0708,-0.1902,0.2187,-0.1137,0.7130
1:0:0:0,nz_linz_nzgd2000-si20030821-grid01,patch_si_20030821_grid_si_l3,1:0:0,,93,81,3,"POLYGON((166.5625 -45.453125,166.5625 -44.828125,167.425 -44.828125,167.425 -45.453125, 166.5625 -45.453125))",-0.2703,0.0719,-0.1914,0.2193,-0.1145,0.7194
2:0,nz_linz_nzgd2000-mq20041223-grid011,patch_mq_20041223_grid_mq_p0_l1,,,10,8,1,"POLYGON((168.4 -53.0,168.4 -52.125,169.75 -52.125,169.75 -53.0, 168.4 -53.0))",-0.0142,0.0000,0.0000,0.0064,0.0000,0.0057
3:0,nz_linz_nzgd2000-mq20041223-grid012,patch_mq_20041223_grid_mq_p1_sl2,,,105,137,1,"POLYGON((158.8 -52.5,158.8 -48.25,162.70000000000002 -48.25,162.70000000000002 -52.5, 158.8 -52.5))",-0.8897,1.4320,-1.5202,1.8189,-0.7457,0.7079
4:0,nz_linz_nzgd2000-mq20041223-grid013,patch_mq_20041223_grid_mq_p2_l1,,,11,11,1,"POLYGON((165.4 -51.375,165.4 -50.125,166.9 -50.125,166.9 -51.375, 165.4 -51.375))",-0.0325,0.0000,0.0000,0.0162,0.0000,0.0116
5:0,nz_linz_nzgd2000-mq20041223-grid014,patch_mq_20041223_grid_mq_p3_l1,,,9,8,1,"POLYGON((178.15 -50.125,178.15 -49.25,179.35 -49.25,179.35 -50.125, 178.15 -50.125))",-0.0021,0.0000,0.0000,0.0011,0.0000,0.0008
6:0,nz_linz_nzgd2000-mq20041223-grid015,patch_mq_20041223_grid_mq_p4_l1,,,70,68,1,"POLYGON((165.85 -48.5,165.85 -40.125,176.2 -40.125,176.2 -48.5, 165.85 -48.5))",0.0000,0.0063,0.0000,0.0146,-0.0048,0.0000
7:0,nz_linz_nzgd2000-mq20041223-grid016,patch_mq_20041223_grid_mq_p5_l1,,,8,7,1,"POLYGON((178.45 -48.125,178.45 -47.375,179.5 -47.375,179.5 -48.125, 178.45 -48.125))",-0.0011,0.0000,0.0000,0.0011,0.0000,0.0003
8:0,nz_linz_nzgd2000-gs20071016-grid01,patch_gs_20071016_grid_gs_l1,,,37,27,1,"POLYGON((165.85 -47.0,165.85 -43.75,171.25 -43.75,171.25 -47.0, 165.85 -47.0))",-0.0943,0.0139,-0.0942,0.0367,-0.0330,0.2117
8:0:0,nz_linz_nzgd2000-gs20071016-grid01,patch_gs_20071016_grid_gs_l2,8:0,,45,37,2,"POLYGON((166.6375 -45.40625,166.6375 -44.28125,168.2875 -44.28125,168.2875 -45.40625, 166.6375 -45.40625))",-0.1096,0.0156,-0.0990,0.0538,-0.0380,0.2648
8:0:0:0,nz_linz_nzgd2000-gs20071016-grid01,patch_gs_20071016_grid_gs_l3,8:0:0,,54,52,3,"POLYGON((167.0875 -45.015625,167.0875 -44.6171875,167.584375 -44.6171875,167.584375 -45.015625, 167.0875 -45.015625))",-0.1116,0.0164,-0.0994,0.0549,-0.0101,0.2662
9:0,nz_linz_nzgd2000-ds20090715-grid011,patch_ds_20090715_grid_ds_p0_l1,,,11,11,1,"POLYGON((165.4 -51.375,165.4 -50.125,166.9 -50.125,166.9 -51.375, 165.4 -51.375))",0.0000,0.0004,-0.0029,0.0000,-0.0018,0.0000
10:0,nz_linz_nzgd2000-ds20090715-grid012,patch_ds_20090715_grid_ds_p1_l1,,,6,7,1,"POLYGON((178.15 -50.0,178.15 -49.25,178.9 -49.25,178.9 -50.0, 178.15 -50.0))",-0.0014,0.0000,0.0000,0.0002,0.0000,0.0002
11:0,nz_linz_nzgd2000-ds20090715-grid013,patch_ds_20090715_grid_ds_p2_l1,,,85,72,1,"POLYGON((164.65 -48.5,164.65 -39.625,177.25 -39.625,177.25 -48.5, 164.65 -48.5))",-1.1989,0.1967,-0.9930,0.1053,-0.2388,1.0685
11:0:0,nz_linz_nzgd2000-ds20090715-grid013,patch_ds_20090715_grid_ds_p2_l2,11:0,,67,73,2,"POLYGON((165.2875 -46.9375,165.2875 -44.6875,167.7625 -44.6875,167.7625 -46.9375, 165.2875 -46.9375))",-1.2236,0.1998,-1.0277,0.1402,-0.2489,1.0924
11:0:0:0,nz_linz_nzgd2000-ds20090715-grid013,patch_ds_20090715_grid_ds_p2_l3,11:0:0,,83,138,3,"POLYGON((166.075 -46.3515625,166.075 -45.28125,166.84375 -45.28125,166.84375 -46.3515625, 166.075 -46.3515625))",-1.2236,0.0811,-1.0242,0.1402,-0.2492,1.0082
12:0,nz_linz_nzgd2000-ds20090715-grid014,patch_ds_20090715_grid_ds_p3_l1,,,8,7,1,"POLYGON((178.45 -48.125,178.45 -47.375,179.5 -47.375,179.5 -48.125, 178.45 -48.125))",-0.0019,0.0000,0.0000,0.0001,0.0000,0.0004
13:0,nz_linz_nzgd2000-c120100904-grid01,patch_c1_20100904_grid_c1_l1,,,55,52,1,"POLYGON((168.1 -46.75,168.1 -40.375,176.2 -40.375,176.2 -46.75, 168.1 -46.75))",-1.1840,0.8378,-0.8086,0.4352,-0.1717,0.3857
13:0:0,nz_linz_nzgd2000-c120100904-grid01,patch_c1_20100904_grid_c1_l2,13:0,,59,50,2,"POLYGON((171.1 -44.34375,171.1 -42.8125,173.275 -42.8125,173.275 -44.34375, 171.1 -44.34375))",-2.7932,2.3268,-1.1344,0.4777,-1.5307,1.2898
13:0:0:0,nz_linz_nzgd2000-c120100904-grid01,patch_c1_20100904_grid_c1_l3,13:0:0,,118,84,3,"POLYGON((171.625 -43.8984375,171.625 -43.25,172.721875 -43.25,172.721875 -43.8984375, 171.625 -43.8984375))",-2.7932,2.5247,-1.1985,1.2966,-1.5307,1.6712
13:0:0:0:0,nz_linz_nzgd2000-c120100904-grid01,patch_c1_20100904_grid_c1_l4,13:0:0:0,,306,141,4,"POLYGON((171.8125 -43.697265625,171.8125 -43.423828125,172.52734375 -43.423828125,172.52734375 -43.697265625, 171.8125 -43.697265625))",-2.8661,2.6567,-1.3168,1.9031,-1.6334,1.7646
14:0,nz_linz_nzgd2000-c220110222-grid01,patch_c2_20110222_grid_c2_l1,,,21,18,1,"POLYGON((170.8 -44.5,170.8 -42.375,173.8 -42.375,173.8 -44.5, 170.8 -44.5))",-0.0535,0.1245,-0.0916,0.1125,-0.0284,0.0272
14:0:0,nz_linz_nzgd2000-c220110222-grid01,patch_c2_20110222_grid_c2_l2,14:0,,38,34,2,"POLYGON((172.0 -44.0625,172.0 -43.03125,173.3875 -43.03125,173.3875 -44.0625, 172.0 -44.0625))",-0.2135,0.2275,-0.2521,0.1232,-0.1018,0.2983
14:0:0:0,nz_linz_nzgd2000-c220110222-grid01,patch_c2_20110222_grid_c2_l3,14:0:0,,62,52,3,"POLYGON((172.4125 -43.75,172.4125 -43.3515625,172.984375 -43.3515625,172.984375 -43.75, 172.4125 -43.75))",-0.2315,0.2628,-0.2521,0.1962,-0.1319,0.4844
14:0:0:0:0,nz_linz_nzgd2000-c220110222-grid01,patch_c2_20110222_grid_c2_l4,14:0:0:0,,118,81,4,"POLYGON((172.56015625 -43.630859375,172.56015625 -43.474609375,172.834375 -43.474609375,172.834375 -43.630859375, 172.56015625 -43.630859375))",-0.2373,0.2659,-0.2550,0.2010,-0.1346,0.4849
15:0,nz_linz_nzgd2000-c320110613-grid01,patch_c3_20110613_grid_c3_l1,,,16,15,1,"POLYGON((171.4 -44.375,171.4 -42.625,173.65 -42.625,173.65 -44.375, 171.4 -44.375))",-0.0328,0.0475,-0.1394,0.0152,-0.0307,0.0468
15:0:0,nz_linz_nzgd2000-c320110613-grid01,patch_c3_20110613_grid_c3_l2,15:0,,33,31,2,"POLYGON((172.15 -44.03125,172.15 -43.09375,173.35 -43.09375,173.35 -44.03125, 172.15 -44.03125))",-0.0539,0.1384,-0.1986,0.0621,-0.0930,0.1094
15:0:0:0,nz_linz_nzgd2000-c320110613-grid01,patch_c3_20110613_grid_c3_l3,15:0:0,,51,48,3,"POLYGON((172.515625 -43.7421875,172.515625 -43.375,172.984375 -43.375,172.984375 -43.7421875, 172.515625 -43.7421875))",-0.0585,0.1384,-0.2119,0.0683,-0.1005,0.1309
15:0:0:0:0,nz_linz_nzgd2000-c320110613-grid01,patch_c3_20110613_grid_c3_l4,15:0:0:0,,88,84,4,"POLYGON((172.65390625 -43.646484375,172.65390625 -43.484375,172.8578125 -43.484375,172.8578125 -43.646484375, 172.65390625 -43.646484375))",-0.0586,0.1387,-0.2126,0.0690,-0.1010,0.1316
16:0,nz_linz_nzgd2000-c420111223-grid01,patch_c4_20111223_grid_c4_l1,,,15,13,1,"POLYGON((171.55 -44.25,171.55 -42.75,173.65 -42.75,173.65 -44.25, 171.55 -44.25))",-0.1244,0.0211,-0.1084,0.0142,-0.0101,0.0709
16:0:0,nz_linz_nzgd2000-c420111223-grid01,patch_c4_20111223_grid_c4_l2,16:0,,32,30,2,"POLYGON((172.1875 -43.9375,172.1875 -43.03125,173.35 -43.03125,173.35 -43.9375, 172.1875 -43.9375))",-0.1244,0.1355,-0.2051,0.0170,-0.0790,0.2173
16:0:0:0,nz_linz_nzgd2000-c420111223-grid01,patch_c4_20111223_grid_c4_l3,16:0:0,,52,44,3,"POLYGON((172.553125 -43.6484375,172.553125 -43.3125,173.03125 -43.3125,173.03125 -43.6484375, 172.553125 -43.6484375))",-0.1698,0.1544,-0.2140,0.0353,-0.1247,0.3619
16:0:0:0:0,nz_linz_nzgd2000-c420111223-grid01,patch_c4_20111223_grid_c4_l4,16:0:0:0,,87,61,4,"POLYGON((172.67734375 -43.5390625,172.67734375 -43.421875,172.87890625 -43.421875,172.87890625 -43.5390625, 172.67734375 -43.5390625))",-0.1700,0.1545,-0.2142,0.0385,-0.1281,0.3649
17:0,nz_linz_nzgd2000-cs20130721-grid02,patch_cs_20130721_grid_cs_20130721_l1,,,34,32,1,"POLYGON((171.55 -43.375,171.55 -39.5,176.5 -39.5,176.5 -43.375, 171.55 -43.375))",-0.0452,0.0671,-0.0373,0.0801,-0.0334,0.0456
17:0:0,nz_linz_nzgd2000-cs20130721-grid02,patch_cs_20130721_grid_cs_20130721_l2,17:0,,43,37,2,"POLYGON((173.5375 -42.15625,173.5375 -41.03125,175.11249999999998 -41.03125,175.11249999999998 -42.15625, 173.5375 -42.15625))",-0.0537,0.0723,-0.0443,0.0801,-0.0397,0.0459
17:0:0:0,nz_linz_nzgd2000-cs20130721-grid02,patch_cs_20130721_grid_cs_20130721_l3,17:0:0,,73,57,3,"POLYGON((173.9875 -41.8203125,173.9875 -41.3828125,174.66250000000002 -41.3828125,174.66250000000002 -41.8203125, 173.9875 -41.8203125))",-0.0581,0.0734,-0.0444,0.0801,-0.0400,0.0470
17:0:0:0:0,nz_linz_nzgd2000-cs20130721-grid02,patch_cs_20130721_grid_cs_20130721_l4,17:0:0:0,,90,68,4,"POLYGON((174.28984375 -41.66796875,174.28984375 -41.537109375,174.4984375 -41.537109375,174.4984375 -41.66796875, 174.28984375 -41.66796875))",-0.0585,0.0722,-0.0427,0.0759,-0.0239,0.0448
18:0,nz_linz_nzgd2000-lg20130816-grid02,patch_lg_20130816_grid_lg_20130816_l1,,,39,39,1,"POLYGON((170.95 -44.0,170.95 -39.25,176.64999999999998 -39.25,176.64999999999998 -44.0, 170.95 -44.0))",-0.1983,0.1541,-0.0860,0.2605,-0.0666,0.1745
18:0:0,nz_linz_nzgd2000-lg20130816-grid02,patch_lg_20130816_grid_lg_20130816_l2,18:0,,44,40,2,"POLYGON((173.3875 -42.3125,173.3875 -41.09375,175.0 -41.09375,175.0 -42.3125, 173.3875 -42.3125))",-0.2458,0.2331,-0.1132,0.2982,-0.1201,0.2353
18:0:0:0,nz_linz_nzgd2000-lg20130816-grid02,patch_lg_20130816_grid_lg_20130816_l3,18:0:0,,79,63,3,"POLYGON((173.809375 -41.9453125,173.809375 -41.4609375,174.54062499999998 -41.4609375,174.54062499999998 -41.9453125, 173.809375 -41.9453125))",-0.2478,0.2340,-0.1158,0.3055,-0.1230,0.2587
18:0:0:0:0,nz_linz_nzgd2000-lg20130816-grid02,patch_lg_20130816_grid_lg_20130816_l4,18:0:0:0,,134,104,4,"POLYGON((174.034375 -41.806640625,174.034375 -41.60546875,174.34609375000002 -41.60546875,174.34609375000002 -41.806640625, 174.034375 -41.806640625))",-0.2494,0.2340,-0.1159,0.3056,-0.1242,0.2598
19:0,nz_linz_nzgd2000-ch20160214-grid01,patch_ch_20160214_grid_ch_20160214_l1,,,14,11,1,"POLYGON((171.7 -44.125,171.7 -42.875,173.64999999999998 -42.875,173.64999999999998 -44.125, 171.7 -44.125))",-0.0398,0.0118,-0.1472,0.0100,-0.0036,0.0991
19:0:0,nz_linz_nzgd2000-ch20160214-grid01,patch_ch_20160214_grid_ch_20160214_l2,19:0,,29,27,2,"POLYGON((172.225 -43.875,172.225 -43.0625,173.275 -43.0625,173.275 -43.875, 172.225 -43.875))",-0.0850,0.0652,-0.1472,0.0270,-0.0305,0.1715
19:0:0:0,nz_linz_nzgd2000-ch20160214-grid01,patch_ch_20160214_grid_ch_20160214_l3,19:0:0,,46,38,3,"POLYGON((172.553125 -43.609375,172.553125 -43.3203125,172.975 -43.3203125,172.975 -43.609375, 172.553125 -43.609375))",-0.0936,0.0937,-0.1755,0.0314,-0.0488,0.2211
19:0:0:0:0,nz_linz_nzgd2000-ch20160214-grid01,patch_ch_20160214_grid_ch_20160214_l4,19:0:0:0,,79,61,4,"POLYGON((172.67265625 -43.525390625,172.67265625 -43.408203125,172.85546875 -43.408203125,172.85546875 -43.525390625, 172.67265625 -43.525390625))",-0.0945,0.0949,-0.1760,0.0322,-0.0493,0.2213
20:0,nz_linz_nzgd2000-ka20161114-grid01,patch_ka_20161114_grid_ka_20161114co_h_l1_f,,,89,110,1,"POLYGON((165.85 -47.625,165.85 -34.0,179.04999999999998 -34.0,179.04999999999998 -47.625, 165.85 -47.625))",-0.5401,0.5018,-0.1952,0.3618,,
20:0:0,nz_linz_nzgd2000-ka20161114-grid01,patch_ka_20161114_grid_ka_20161114co_h_l2_f,20:0,,95,82,2,"POLYGON((171.925 -43.34375,171.925 -40.8125,175.45000000000002 -40.8125,175.45000000000002 -43.34375, 171.925 -43.34375))",-0.5840,0.5497,-0.2074,0.4018,,
21:0,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l2_r,,,65,53,1,"POLYGON((172.525 -42.90625,172.525 -41.28125,174.925 -41.28125,174.925 -42.90625, 172.525 -42.90625))",-4.1238,6.0815,-3.2190,6.4117,,
21:0:0,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l3_r_00,21:0,,115,94,2,"POLYGON((172.571875 -42.875,172.571875 -42.1484375,173.640625 -42.1484375,173.640625 -42.875, 172.571875 -42.875))",-1.6643,3.5833,-1.5927,1.4147,,
21:0:0:0,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_00,21:0:0,,106,107,3,"POLYGON((172.7828125 -42.69140625,172.7828125 -42.484375,173.02890625 -42.484375,173.02890625 -42.69140625, 172.7828125 -42.69140625))",-1.2614,2.8690,-1.2189,0.5118,,
21:0:0:1,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_01,21:0:0,,11,26,3,"POLYGON((173.00546875 -42.484375,173.00546875 -42.435546875,173.02890625 -42.435546875,173.02890625 -42.484375, 173.00546875 -42.484375))",0.6559,0.9040,-0.1152,-0.0571,,
21:0:0:2,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_02,21:0:0,,106,111,3,"POLYGON((173.02890625 -42.69921875,173.02890625 -42.484375,173.275 -42.484375,173.275 -42.69921875, 173.02890625 -42.69921875))",-1.7226,3.7410,-0.9648,1.4931,,
21:0:0:3,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_03,21:0:0,,106,51,3,"POLYGON((173.02890625 -42.484375,173.02890625 -42.38671875,173.275 -42.38671875,173.275 -42.484375, 173.02890625 -42.484375))",-0.5089,2.0758,-0.0633,1.4815,,
21:0:0:4,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_04,21:0:0,,106,88,3,"POLYGON((173.275 -42.654296875,173.275 -42.484375,173.52109375 -42.484375,173.52109375 -42.654296875, 173.275 -42.654296875))",-1.5715,1.7825,-0.6331,0.9975,,
21:0:0:5,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_05,21:0:0,,106,111,3,"POLYGON((173.275 -42.484375,173.275 -42.26953125,173.52109375 -42.26953125,173.52109375 -42.484375, 173.275 -42.484375))",0.0841,1.4613,-0.4021,0.5197,,
21:0:0:6,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_060,21:0:0,,21,63,3,"POLYGON((173.47421875 -42.26953125,173.47421875 -42.1484375,173.52109375 -42.1484375,173.52109375 -42.26953125, 173.47421875 -42.26953125))",1.2366,1.9779,-0.1263,0.0361,,
21:0:0:7,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_080,21:0:0,,52,30,3,"POLYGON((173.52109375 -42.541015625,173.52109375 -42.484375,173.640625 -42.484375,173.640625 -42.541015625, 173.52109375 -42.541015625))",-0.8539,0.7390,-0.6763,0.4954,,
21:0:0:8,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_090,21:0:0,,52,111,3,"POLYGON((173.52109375 -42.484375,173.52109375 -42.26953125,173.640625 -42.26953125,173.640625 -42.484375, 173.52109375 -42.484375))",-0.3912,2.2401,-1.6161,0.4194,,
21:0:0:9,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_100,21:0:0,,52,63,3,"POLYGON((173.52109375 -42.26953125,173.52109375 -42.1484375,173.640625 -42.1484375,173.640625 -42.26953125, 173.52109375 -42.26953125))",1.0190,3.1304,-1.1872,0.6805,,
21:0:1,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l3_r_01,21:0,,53,89,2,"POLYGON((173.153125 -42.1484375,173.153125 -41.4609375,173.640625 -41.4609375,173.640625 -42.1484375, 173.153125 -42.1484375))",0.0000,3.1168,-0.3158,0.9419,,
21:0:1:0,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_061,21:0:1,,21,49,3,"POLYGON((173.47421875 -42.1484375,173.47421875 -42.0546875,173.52109375 -42.0546875,173.52109375 -42.1484375, 173.47421875 -42.1484375))",1.8212,2.3047,-0.1875,0.0556,,
21:0:1:1,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_07,21:0:1,,9,6,3,"POLYGON((173.50234375 -42.0546875,173.50234375 -42.044921875,173.52109375 -42.044921875,173.52109375 -42.0546875, 173.50234375 -42.0546875))",2.1452,2.2654,-0.1516,-0.0818,,
21:0:1:2,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_101,21:0:1,,52,49,3,"POLYGON((173.52109375 -42.1484375,173.52109375 -42.0546875,173.640625 -42.0546875,173.640625 -42.1484375, 173.52109375 -42.1484375))",1.9779,3.1186,-0.0818,0.9420,,
21:0:1:3,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_110,21:0:1,,52,111,3,"POLYGON((173.52109375 -42.0546875,173.52109375 -41.83984375,173.640625 -41.83984375,173.640625 -42.0546875, 173.52109375 -42.0546875))",1.1064,2.9412,-0.1982,0.8688,,
21:0:2,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l3_r_02,21:0,,73,63,2,"POLYGON((173.640625 -42.6328125,173.640625 -42.1484375,174.315625 -42.1484375,174.315625 -42.6328125, 173.640625 -42.6328125))",-3.6080,5.2473,-3.2938,5.6835,,
21:0:2:0,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_081,21:0:2,,28,30,3,"POLYGON((173.640625 -42.541015625,173.640625 -42.484375,173.70390625 -42.484375,173.70390625 -42.541015625, 173.640625 -42.541015625))",-0.3661,-0.2434,-0.4639,-0.1469,,
21:0:2:1,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_091,21:0:2,,55,111,3,"POLYGON((173.640625 -42.484375,173.640625 -42.26953125,173.7671875 -42.26953125,173.7671875 -42.484375, 173.640625 -42.484375))",-1.7216,4.0521,-2.6154,0.3029,,
21:0:2:2,nz_linz_nzgd2000-ka20161114-grid02,patch_ka_20161114_grid_ka_20161114co_h_l4_r_102,21:0:2,,55,63,3,"POLYGON((173.640625 -42.26953125,173.640625 -42.1484375,173.7671875 -42.1484375,173.7671875 -42.26953125, 173.640625 -42.26953125))",-3.8451,5.7633,-3.5030,6.0584,,
