id,ggxfGroupName,ggxfGridName,parentId,gridPriority,iCodeCount,jNodeCount,depth,xmin,xmax,ymin,ymax,latitudeOffset-min,latitudeOffset-max,longitudeOffset-min,longitudeOffset-max,latitudeOffsetUncertainty-min,latitudeOffsetUncertainty-max,longitudeOffsetUncertainty-min,longitudeOffsetUncertainty-max,extent_wkt
0:0,national_transformation_v2_0,CAeast,,,529,241,1,40.00000000,60.00000000,-88.00000000,-44.00000000,-1.2413,2.7054,-0.5286,6.5361,0.0000,13.3550,0.0000,8.7160,"POLYGON((-88.00000000 40.00000000,-88.00000000 60.00000000,-44.00000000 60.00000000,-44.00000000 40.00000000, -88.00000000 40.00000000))"
0:0:0,national_transformation_v2_0,NFstjohn,0:0,,81,51,2,47.41666667,47.83333333,-53.00000000,-52.33333333,-0.2300,-0.1928,3.4778,3.5403,0.0010,0.2220,0.0010,0.1600,"POLYGON((-53.00000000 47.41666667,-53.00000000 47.83333333,-52.33333333 47.83333333,-52.33333333 47.41666667, -53.00000000 47.41666667))"
0:0:1,national_transformation_v2_0,ONkinstn,0:0,,321,321,2,43.83333333,46.50000000,-78.83333333,-76.16666667,0.1766,0.2312,0.7103,1.1669,0.0000,0.4020,0.0000,0.6880,"POLYGON((-78.83333333 43.83333333,-78.83333333 46.50000000,-76.16666667 46.50000000,-76.16666667 43.83333333, -78.83333333 43.83333333))"
0:0:2,national_transformation_v2_0,ONottawa,0:0,,221,201,2,44.25000000,45.91666667,-76.16666667,-74.33333333,0.1514,0.2104,1.1062,1.3913,0.0000,0.2000,0.0000,0.1110,"POLYGON((-76.16666667 44.25000000,-76.16666667 45.91666667,-74.33333333 45.91666667,-74.33333333 44.25000000, -76.16666667 44.25000000))"
0:0:3,national_transformation_v2_0,ONsarnia,0:0,,101,121,2,42.41666667,43.41666667,-82.58333333,-81.75000000,0.1327,0.1669,0.2829,0.4211,0.0000,0.0850,0.0010,0.1110,"POLYGON((-82.58333333 42.41666667,-82.58333333 43.41666667,-81.75000000 43.41666667,-81.75000000 42.41666667, -82.58333333 42.41666667))"
0:0:4,national_transformation_v2_0,ONsault,0:0,,351,71,2,46.08333333,46.66666667,-84.66666667,-81.75000000,0.0997,0.1567,0.0285,0.3805,0.0010,0.5700,0.0000,0.1870,"POLYGON((-84.66666667 46.08333333,-84.66666667 46.66666667,-81.75000000 46.66666667,-81.75000000 46.08333333, -84.66666667 46.08333333))"
0:0:5,national_transformation_v2_0,ONtimins,0:0,,101,41,2,48.33333333,48.66666667,-81.66666667,-80.83333333,0.2829,0.3134,0.2615,0.3989,0.0010,0.0630,0.0010,0.0600,"POLYGON((-81.66666667 48.33333333,-81.66666667 48.66666667,-80.83333333 48.66666667,-80.83333333 48.33333333, -81.66666667 48.33333333))"
0:0:6,national_transformation_v2_0,ONtronto,0:0,,351,511,2,42.41666667,46.66666667,-81.75000000,-78.83333333,0.1146,0.2321,0.3526,0.8160,0.0000,0.9030,0.0000,0.4330,"POLYGON((-81.75000000 42.41666667,-81.75000000 46.66666667,-78.83333333 46.66666667,-78.83333333 42.41666667, -81.75000000 42.41666667))"
0:0:7,national_transformation_v2_0,ONwinsor,0:0,,171,61,2,41.91666667,42.41666667,-83.16666667,-81.75000000,0.1454,0.1682,0.2496,0.4287,0.0010,0.1600,0.0000,0.2570,"POLYGON((-83.16666667 41.91666667,-83.16666667 42.41666667,-81.75000000 42.41666667,-81.75000000 41.91666667, -83.16666667 41.91666667))"
0:1,national_transformation_v2_0,CAwest,,,649,157,1,47.00000000,60.00000000,-142.00000000,-88.00000000,-2.2938,1.8989,-8.4332,0.5606,0.0000,13.3600,0.0000,8.9690,"POLYGON((-142.00000000 47.00000000,-142.00000000 60.00000000,-88.00000000 60.00000000,-88.00000000 47.00000000, -142.00000000 47.00000000))"
0:1:0,national_transformation_v2_0,ALbanff,0:1,,11,21,2,51.08333333,51.25000000,-115.58333333,-115.50000000,0.0741,0.0879,-3.7737,-3.7373,0.0030,0.1300,0.0060,0.0580,"POLYGON((-115.58333333 51.08333333,-115.58333333 51.25000000,-115.50000000 51.25000000,-115.50000000 51.08333333, -115.58333333 51.08333333))"
0:1:1,national_transformation_v2_0,ALbarhed,0:1,,21,11,2,54.08333333,54.16666667,-114.50000000,-114.33333333,0.2634,0.2722,-3.8181,-3.7892,0.0010,0.0050,0.0000,0.0050,"POLYGON((-114.50000000 54.08333333,-114.50000000 54.16666667,-114.33333333 54.16666667,-114.33333333 54.08333333, -114.50000000 54.08333333))"
0:1:2,national_transformation_v2_0,ALbonvil,0:1,,31,21,2,54.16666667,54.33333333,-110.83333333,-110.58333333,0.2507,0.3321,-3.2152,-3.1151,0.0040,0.9000,0.0030,0.4190,"POLYGON((-110.83333333 54.16666667,-110.83333333 54.33333333,-110.58333333 54.33333333,-110.58333333 54.16666667, -110.83333333 54.16666667))"
0:1:3,national_transformation_v2_0,ALbowisl,0:1,,31,11,2,49.83333333,49.91666667,-111.50000000,-111.25000000,0.1043,0.1210,-3.1410,-3.0935,0.0010,0.0710,0.0020,0.1380,"POLYGON((-111.50000000 49.83333333,-111.50000000 49.91666667,-111.25000000 49.91666667,-111.25000000 49.83333333, -111.50000000 49.83333333))"
0:1:4,national_transformation_v2_0,ALbrooks,0:1,,31,21,2,50.50000000,50.66666667,-112.00000000,-111.75000000,0.1884,0.2043,-3.2419,-3.1844,0.0010,0.1880,0.0030,0.1580,"POLYGON((-112.00000000 50.50000000,-112.00000000 50.66666667,-111.75000000 50.66666667,-111.75000000 50.50000000, -112.00000000 50.50000000))"
0:1:5,national_transformation_v2_0,ALcalgry,0:1,,101,101,2,50.50000000,51.33333333,-114.58333333,-113.75000000,0.1495,0.2091,-3.6422,-3.5278,0.0000,0.9750,0.0000,1.0410,"POLYGON((-114.58333333 50.50000000,-114.58333333 51.33333333,-113.75000000 51.33333333,-113.75000000 50.50000000, -114.58333333 50.50000000))"
0:1:6,national_transformation_v2_0,ALcamros,0:1,,41,31,2,52.83333333,53.08333333,-113.00000000,-112.66666667,0.2354,0.2634,-3.5461,-3.4704,0.0020,0.0670,0.0010,0.1540,"POLYGON((-113.00000000 52.83333333,-113.00000000 53.08333333,-112.66666667 53.08333333,-112.66666667 52.83333333, -113.00000000 52.83333333))"
0:1:7,national_transformation_v2_0,ALcanmor,0:1,,31,21,2,51.00000000,51.16666667,-115.50000000,-115.25000000,0.0813,0.1022,-3.7468,-3.6841,0.0030,0.0880,0.0050,0.0590,"POLYGON((-115.50000000 51.00000000,-115.50000000 51.16666667,-115.25000000 51.16666667,-115.25000000 51.00000000, -115.50000000 51.00000000))"
0:1:8,national_transformation_v2_0,ALcardst,0:1,,31,11,2,49.16666667,49.25000000,-113.41666667,-113.16666667,-0.0841,-0.0382,-3.4472,-3.3818,0.0060,0.4440,0.0050,0.2520,"POLYGON((-113.41666667 49.16666667,-113.41666667 49.25000000,-113.16666667 49.25000000,-113.16666667 49.16666667, -113.41666667 49.16666667))"
0:1:9,national_transformation_v2_0,ALcarsta,0:1,,31,21,2,51.50000000,51.66666667,-114.25000000,-114.00000000,0.1869,0.2027,-3.6077,-3.5719,0.0010,0.0680,0.0010,0.1260,"POLYGON((-114.25000000 51.50000000,-114.25000000 51.66666667,-114.00000000 51.66666667,-114.00000000 51.50000000, -114.25000000 51.50000000))"
0:1:10,national_transformation_v2_0,ALclarho,0:1,,31,21,2,49.91666667,50.08333333,-113.66666667,-113.41666667,0.0212,0.0499,-3.5229,-3.4460,0.0170,0.1230,0.0180,0.1900,"POLYGON((-113.66666667 49.91666667,-113.66666667 50.08333333,-113.41666667 50.08333333,-113.41666667 49.91666667, -113.66666667 49.91666667))"
0:1:11,national_transformation_v2_0,ALcoldlk,0:1,,31,31,2,54.33333333,54.58333333,-110.33333333,-110.08333333,0.3020,0.3223,-3.1018,-3.0292,0.0010,0.1830,0.0020,0.0820,"POLYGON((-110.33333333 54.33333333,-110.33333333 54.58333333,-110.08333333 54.58333333,-110.08333333 54.33333333, -110.33333333 54.33333333))"
0:1:12,national_transformation_v2_0,ALcrowps,0:1,,71,31,2,49.50000000,49.75000000,-114.75000000,-114.16666667,-0.0015,0.0490,-3.6435,-3.4989,0.0000,0.5740,0.0000,0.7660,"POLYGON((-114.75000000 49.50000000,-114.75000000 49.75000000,-114.16666667 49.75000000,-114.16666667 49.50000000, -114.75000000 49.50000000))"
0:1:13,national_transformation_v2_0,ALdraytn,0:1,,31,31,2,53.08333333,53.33333333,-115.08333333,-114.83333333,0.2010,0.2251,-3.8671,-3.7987,0.0080,0.2310,0.0050,0.4050,"POLYGON((-115.08333333 53.08333333,-115.08333333 53.33333333,-114.83333333 53.33333333,-114.83333333 53.08333333, -115.08333333 53.08333333))"
0:1:14,national_transformation_v2_0,ALdrumhl,0:1,,61,41,2,51.25000000,51.58333333,-112.91666667,-112.41666667,0.2224,0.2322,-3.4003,-3.3137,0.0000,0.1070,0.0010,0.1650,"POLYGON((-112.91666667 51.25000000,-112.91666667 51.58333333,-112.41666667 51.58333333,-112.41666667 51.25000000, -112.91666667 51.25000000))"
0:1:15,national_transformation_v2_0,ALedmntn,0:1,,131,91,2,53.16666667,53.91666667,-114.16666667,-113.08333333,0.2167,0.2733,-3.7410,-3.5638,0.0000,0.1660,0.0000,0.2680,"POLYGON((-114.16666667 53.16666667,-114.16666667 53.91666667,-113.08333333 53.91666667,-113.08333333 53.16666667, -114.16666667 53.16666667))"
0:1:16,national_transformation_v2_0,ALedson,0:1,,41,21,2,53.50000000,53.66666667,-116.58333333,-116.25000000,0.2444,0.2674,-4.1510,-4.0764,0.0060,0.1530,0.0040,0.1900,"POLYGON((-116.58333333 53.50000000,-116.58333333 53.66666667,-116.25000000 53.66666667,-116.25000000 53.50000000, -116.58333333 53.50000000))"
0:1:17,national_transformation_v2_0,ALfairvw,0:1,,21,21,2,56.00000000,56.16666667,-118.50000000,-118.33333333,0.0811,0.1033,-4.9922,-4.9560,0.0020,0.4900,0.0050,0.0690,"POLYGON((-118.50000000 56.00000000,-118.50000000 56.16666667,-118.33333333 56.16666667,-118.33333333 56.00000000, -118.50000000 56.00000000))"
0:1:18,national_transformation_v2_0,ALftmacl,0:1,,31,21,2,49.66666667,49.83333333,-113.50000000,-113.25000000,-0.0113,0.0349,-3.4637,-3.3561,0.0120,0.3410,0.0120,0.3940,"POLYGON((-113.50000000 49.66666667,-113.50000000 49.83333333,-113.25000000 49.83333333,-113.25000000 49.66666667, -113.50000000 49.66666667))"
0:1:19,national_transformation_v2_0,ALftmcmr,0:1,,61,31,2,56.58333333,56.83333333,-111.58333333,-111.08333333,0.3539,0.3861,-3.4287,-3.3080,0.0010,0.3220,0.0010,0.2670,"POLYGON((-111.58333333 56.58333333,-111.58333333 56.83333333,-111.08333333 56.83333333,-111.08333333 56.58333333, -111.58333333 56.58333333))"
0:1:20,national_transformation_v2_0,ALgrcach,0:1,,31,21,2,53.83333333,54.00000000,-119.25000000,-119.00000000,0.0475,0.0952,-4.6830,-4.5636,0.0000,0.4690,0.0000,0.4570,"POLYGON((-119.25000000 53.83333333,-119.25000000 54.00000000,-119.00000000 54.00000000,-119.00000000 53.83333333, -119.25000000 53.83333333))"
0:1:21,national_transformation_v2_0,ALgrimsh,0:1,,21,21,2,56.08333333,56.25000000,-117.66666667,-117.50000000,0.1421,0.1640,-4.8847,-4.8455,0.0020,0.0370,0.0030,0.0640,"POLYGON((-117.66666667 56.08333333,-117.66666667 56.25000000,-117.50000000 56.25000000,-117.50000000 56.08333333, -117.66666667 56.08333333))"
0:1:22,national_transformation_v2_0,ALgrprar,0:1,,41,21,2,55.08333333,55.25000000,-118.91666667,-118.58333333,-0.0575,-0.0122,-4.8998,-4.8380,0.0020,0.1800,0.0010,0.0540,"POLYGON((-118.91666667 55.08333333,-118.91666667 55.25000000,-118.58333333 55.25000000,-118.58333333 55.08333333, -118.91666667 55.08333333))"
0:1:23,national_transformation_v2_0,ALhanna,0:1,,31,21,2,51.58333333,51.75000000,-112.08333333,-111.83333333,0.2318,0.2426,-3.2814,-3.2392,0.0010,0.0160,0.0010,0.0190,"POLYGON((-112.08333333 51.58333333,-112.08333333 51.75000000,-111.83333333 51.75000000,-111.83333333 51.58333333, -112.08333333 51.58333333))"
0:1:24,national_transformation_v2_0,ALhilevl,0:1,,31,21,2,58.41666667,58.58333333,-117.25000000,-117.00000000,0.3040,0.3357,-5.0287,-4.9347,0.0010,0.1490,0.0020,0.3590,"POLYGON((-117.25000000 58.41666667,-117.25000000 58.58333333,-117.00000000 58.58333333,-117.00000000 58.41666667, -117.25000000 58.41666667))"
0:1:25,national_transformation_v2_0,ALhinton,0:1,,31,21,2,53.33333333,53.50000000,-117.66666667,-117.41666667,0.1440,0.1735,-4.2971,-4.2400,0.0020,0.1530,0.0020,0.0970,"POLYGON((-117.66666667 53.33333333,-117.66666667 53.50000000,-117.41666667 53.50000000,-117.41666667 53.33333333, -117.66666667 53.33333333))"
0:1:26,national_transformation_v2_0,ALhiprai,0:1,,41,21,2,55.33333333,55.50000000,-116.66666667,-116.33333333,0.1465,0.1867,-4.5404,-4.4638,0.0050,0.2360,0.0070,0.1350,"POLYGON((-116.66666667 55.33333333,-116.66666667 55.50000000,-116.33333333 55.50000000,-116.33333333 55.33333333, -116.66666667 55.33333333))"
0:1:27,national_transformation_v2_0,ALinnsfl,0:1,,21,31,2,51.91666667,52.16666667,-114.00000000,-113.83333333,0.1981,0.2097,-3.6187,-3.5644,0.0020,0.1020,0.0010,0.1610,"POLYGON((-114.00000000 51.91666667,-114.00000000 52.16666667,-113.83333333 52.16666667,-113.83333333 51.91666667, -114.00000000 51.91666667))"
0:1:28,national_transformation_v2_0,ALjasper,0:1,,21,11,2,52.83333333,52.91666667,-118.16666667,-118.00000000,0.0081,0.0560,-4.2841,-4.2370,0.1550,0.6860,0.0780,0.2450,"POLYGON((-118.16666667 52.83333333,-118.16666667 52.91666667,-118.00000000 52.91666667,-118.00000000 52.83333333, -118.16666667 52.83333333))"
0:1:29,national_transformation_v2_0,ALlacbic,0:1,,31,21,2,54.66666667,54.83333333,-112.08333333,-111.83333333,0.3496,0.3619,-3.4519,-3.4084,0.0020,0.0210,0.0010,0.0270,"POLYGON((-112.08333333 54.66666667,-112.08333333 54.83333333,-111.83333333 54.83333333,-111.83333333 54.66666667, -112.08333333 54.66666667))"
0:1:30,national_transformation_v2_0,ALlacomb,0:1,,31,11,2,52.50000000,52.58333333,-113.83333333,-113.58333333,0.2042,0.2138,-3.6293,-3.5857,0.0020,0.0600,0.0010,0.0450,"POLYGON((-113.83333333 52.50000000,-113.83333333 52.58333333,-113.58333333 52.58333333,-113.58333333 52.50000000, -113.83333333 52.50000000))"
0:1:31,national_transformation_v2_0,ALletbrg,0:1,,61,41,2,49.58333333,49.91666667,-113.00000000,-112.50000000,-0.0255,0.0677,-3.3749,-3.2787,0.0010,0.6140,0.0010,0.3810,"POLYGON((-113.00000000 49.58333333,-113.00000000 49.91666667,-112.50000000 49.91666667,-112.50000000 49.58333333, -113.00000000 49.58333333))"
0:1:32,national_transformation_v2_0,ALlkloui,0:1,,21,21,2,51.33333333,51.50000000,-116.25000000,-116.08333333,-0.0284,-0.0062,-3.9557,-3.8947,0.1150,0.4900,0.1810,0.3770,"POLYGON((-116.25000000 51.33333333,-116.25000000 51.50000000,-116.08333333 51.50000000,-116.08333333 51.33333333, -116.25000000 51.33333333))"
0:1:33,national_transformation_v2_0,ALlydmin,0:1,,31,21,2,53.16666667,53.33333333,-110.16666667,-109.91666667,0.2614,0.2941,-2.8554,-2.8091,0.0010,0.6530,0.0000,0.0390,"POLYGON((-110.16666667 53.16666667,-110.16666667 53.33333333,-109.91666667 53.33333333,-109.91666667 53.16666667, -110.16666667 53.16666667))"
0:1:34,national_transformation_v2_0,ALmedhat,0:1,,41,31,2,49.91666667,50.16666667,-110.83333333,-110.50000000,0.1020,0.1597,-2.9912,-2.9264,0.0010,0.3110,0.0010,0.0600,"POLYGON((-110.83333333 49.91666667,-110.83333333 50.16666667,-110.50000000 50.16666667,-110.50000000 49.91666667, -110.83333333 49.91666667))"
0:1:35,national_transformation_v2_0,ALolds,0:1,,31,21,2,51.75000000,51.91666667,-114.25000000,-114.00000000,0.1901,0.2060,-3.6166,-3.5706,0.0030,0.0570,0.0030,0.0560,"POLYGON((-114.25000000 51.75000000,-114.25000000 51.91666667,-114.00000000 51.91666667,-114.00000000 51.75000000, -114.25000000 51.75000000))"
0:1:36,national_transformation_v2_0,ALoyen,0:1,,31,21,2,51.25000000,51.41666667,-110.58333333,-110.33333333,0.2046,0.2260,-2.9524,-2.8989,0.0010,0.1310,0.0000,0.2060,"POLYGON((-110.58333333 51.25000000,-110.58333333 51.41666667,-110.33333333 51.41666667,-110.33333333 51.25000000, -110.58333333 51.25000000))"
0:1:37,national_transformation_v2_0,ALpeacer,0:1,,31,31,2,56.08333333,56.33333333,-117.41666667,-117.16666667,0.1573,0.1857,-4.8627,-4.7610,0.0000,0.1230,0.0010,0.1510,"POLYGON((-117.41666667 56.08333333,-117.41666667 56.33333333,-117.16666667 56.33333333,-117.16666667 56.08333333, -117.41666667 56.08333333))"
0:1:38,national_transformation_v2_0,ALpinchr,0:1,,11,21,2,49.41666667,49.58333333,-114.00000000,-113.91666667,-0.0408,-0.0200,-3.5159,-3.3810,0.0100,0.2320,0.0080,1.2220,"POLYGON((-114.00000000 49.41666667,-114.00000000 49.58333333,-113.91666667 49.58333333,-113.91666667 49.41666667, -114.00000000 49.41666667))"
0:1:39,national_transformation_v2_0,ALponoka,0:1,,21,21,2,52.58333333,52.75000000,-113.66666667,-113.50000000,0.2061,0.2142,-3.6202,-3.5753,0.0010,0.0460,0.0010,0.1170,"POLYGON((-113.66666667 52.58333333,-113.66666667 52.75000000,-113.50000000 52.75000000,-113.50000000 52.58333333, -113.66666667 52.58333333))"
0:1:40,national_transformation_v2_0,ALraymnd,0:1,,51,21,2,49.33333333,49.50000000,-113.00000000,-112.58333333,-0.0424,-0.0209,-3.3760,-3.3076,0.0010,0.3580,0.0020,0.2400,"POLYGON((-113.00000000 49.33333333,-113.00000000 49.50000000,-112.58333333 49.50000000,-112.58333333 49.33333333, -113.00000000 49.33333333))"
0:1:41,national_transformation_v2_0,ALredeer,0:1,,41,31,2,52.16666667,52.41666667,-113.91666667,-113.58333333,0.2051,0.2165,-3.6308,-3.5573,0.0010,0.1150,0.0010,0.2750,"POLYGON((-113.91666667 52.16666667,-113.91666667 52.41666667,-113.58333333 52.41666667,-113.58333333 52.16666667, -113.91666667 52.16666667))"
0:1:42,national_transformation_v2_0,ALrockmt,0:1,,31,31,2,52.25000000,52.50000000,-115.00000000,-114.75000000,0.1962,0.2367,-3.7996,-3.7033,0.0030,0.3260,0.0130,0.3890,"POLYGON((-115.00000000 52.25000000,-115.00000000 52.50000000,-114.75000000 52.50000000,-114.75000000 52.25000000, -115.00000000 52.25000000))"
0:1:43,national_transformation_v2_0,ALslavlk,0:1,,31,21,2,55.16666667,55.33333333,-114.91666667,-114.66666667,0.2327,0.2549,-4.1061,-4.0393,0.0050,0.0690,0.0030,0.0720,"POLYGON((-114.91666667 55.16666667,-114.91666667 55.33333333,-114.66666667 55.33333333,-114.66666667 55.16666667, -114.91666667 55.16666667))"
0:1:44,national_transformation_v2_0,ALstetlr,0:1,,31,21,2,52.25000000,52.41666667,-112.83333333,-112.58333333,0.2232,0.2385,-3.4718,-3.4106,0.0030,0.0420,0.0030,0.1030,"POLYGON((-112.83333333 52.25000000,-112.83333333 52.41666667,-112.58333333 52.41666667,-112.58333333 52.25000000, -112.83333333 52.25000000))"
0:1:45,national_transformation_v2_0,ALstpaul,0:1,,31,21,2,53.91666667,54.08333333,-111.41666667,-111.16666667,0.2987,0.3178,-3.2365,-3.1681,0.0010,0.0590,0.0010,0.2120,"POLYGON((-111.41666667 53.91666667,-111.41666667 54.08333333,-111.16666667 54.08333333,-111.16666667 53.91666667, -111.41666667 53.91666667))"
